"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Swift", "XML", "Gradle", "Java Properties", "Objective-C", "CMake", "JSON", "HTML", "Java", "Kotlin", "PowerShell", "Kotlinscript", "comment", "blank", "total"
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Forward\widgets\selection_check.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_Forward\widgets\send_button.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 71
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\bodies\chat_screen_glass_body.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 86
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\chat_screen.dart", "Dart", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 186
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\chat_state.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 19, 120
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\chat_state_notifier.dart", "Dart", 802, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 151, 1057
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\chat_state_notifier_5.dart", "Dart", 799, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 146, 1010
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\chat_state_notifier_o.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 652, 136, 788
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\old_notifiers\chat_screen_notifier.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 48, 250
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\old_notifiers\chat_screen_notifier_2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 59, 321
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\notifier\old_notifiers\chat_screen_notifier_3.dart", "Dart", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 78, 561
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\attachment_board.dart", "Dart", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 37, 357
"d:\Android_Dev\Flutter\Projects\notesapp\lib\root\screens\Chat_screen\widgets\components\auto_hide_scroll_to_bottom.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 89
